15.14144;991.8655;995.9678;996.891;998.3966;1000.628;1003.76;1007.997;1013.575;1020.758;1029.843;1041.154;1055.046;1071.9;1092.129;1116.168;1144.481;1162.505;1181.417;1201.211;1284.05;1427.355;1590.162;1765.141;1946.261;2133.286;2327.057;2527.775;2736.106;2953.691;3183.463;3430.284
17.56049;1304.754;1309.692;1310.709;1312.354;1314.78;1318.173;1322.754;1328.778;1336.531;1346.336;1358.545;1373.545;1391.751;1413.608;1439.587;1470.183;1489.656;1510.082;1543.617;1685.352;1873.963;2081.606;2303.563;2539.493;2791.043;3060.594;3352.937;3678.545;4059.629;4558.26;5623.454
18.24046;1398.58;1403.716;1404.755;1406.435;1408.912;1412.375;1417.049;1423.194;1431.105;1441.11;1453.573;1468.887;1487.48;1509.807;1536.351;1567.62;1587.521;1608.398;1651.856;1811.342;2015.223;2239.293;2479.669;2737.448;3015.446;3318.195;3655.722;4050.574;4566.13;5610.786;#ZAHL!
18.96689;1501.601;1506.991;1508.057;1509.776;1512.307;1515.843;1520.612;1526.881;1534.951;1545.156;1557.868;1573.491;1592.461;1615.246;1642.339;1674.258;1694.576;1715.89;1773.077;1953.622;2175.778;2419.692;2682.776;2968.234;3280.92;3630.529;4039.209;4570.389;5598.5;#ZAHL!;#ZAHL!
19.74487;1616.539;1622.259;1623.357;1625.123;1627.715;1631.331;1636.204;1642.604;1650.839;1661.251;1674.22;1690.158;1709.513;1732.763;1760.415;1793.001;1813.747;1835.513;1912.252;2116.049;2359.992;2627.805;2919.643;3241.335;3602.922;4025.65;4571.555;5586.667;#ZAHL!;#ZAHL!;#ZAHL!
20.58078;1746.274;1752.349;1753.481;1755.294;1757.951;1761.651;1766.632;1773.17;1781.579;1792.209;1805.448;1821.721;1841.486;1865.237;1893.5;1926.829;1948.061;1970.349;2074.275;2302.962;2572.923;2870.652;3200.336;3573.254;4010.332;4570.721;5575.38;#ZAHL!;#ZAHL!;#ZAHL!;#ZAHL!
21.4828;1891.802;1898.14;1899.298;1901.15;1903.86;1907.632;1912.709;1919.37;1927.936;1938.765;1952.254;1968.839;1988.993;2013.224;2042.079;2076.136;2097.853;2123.933;2262.155;2519.715;2822.086;3159.51;3542.733;3994.078;4569.39;5564.698;#ZAHL!;#ZAHL!;#ZAHL!;#ZAHL!;#ZAHL!
22.46079;2053.434;2059.995;2061.174;2063.058;2065.813;2069.644;2074.797;2081.557;2090.249;2101.238;2114.928;2131.763;2152.224;2176.834;2206.153;2240.779;2262.87;2302.205;2480.092;2775.163;3120.513;3513.62;3978.087;4568.902;5554.578;#ZAHL!;#ZAHL!;#ZAHL!;#ZAHL!;#ZAHL!;#ZAHL!
23.52594;2235.719;2242.626;2243.836;2245.76;2248.566;2252.462;2257.697;2264.557;2273.374;2284.515;2298.391;2315.451;2336.184;2361.122;2390.834;2425.93;2448.325;2512.281;2739.497;3084.54;3488.336;3964.083;4569.831;5544.83;#ZAHL!;#ZAHL!;#ZAHL!;#ZAHL!;#ZAHL!;#ZAHL!;#ZAHL!
24.69033;2448.426;2455.936;2457.196;2459.184;2462.067;2466.057;2471.403;2478.397;2487.372;2498.7;2512.797;2530.116;2551.154;2576.448;2606.574;2642.152;2664.852;2767.253;3058.528;3466.89;3954.292;4572.377;5535.084;#ZAHL!;#ZAHL!;#ZAHL!;#ZAHL!;#ZAHL!;#ZAHL!;#ZAHL!;#ZAHL!
